,s20230217014,s20230217015,s20230217016,s20230217017,s20230217018,s20230217019,s20230217020,s20230217021,s20230217022,s20230217054,s20230217055,s20230217056,s20230217057,s20230217058,s20230217059,s20230217060,s20230217061,s20230217095,s20230217097,s20230217098,s20230217099,s20230217100,s20230217101,s20230217102,s20230217103
C29H40O13,1.60815503080397,1.60815503080397,1.60815503080397,1.60815503080397,1.60815503080397,1.60815503080397,1.60815503080397,1.60815503080397,1.60815503080397,NA,NA,NA,NA,NA,NA,NA,NA,1.60815503080397,1.60815503080397,1.60815503080397,1.60815503080397,1.60815503080397,NA,NA,1.60815503080397
C29H38O12,3.78790618156242,3.78790618156242,NA,3.78790618156242,3.78790618156242,3.78790618156242,3.78790618156242,3.78790618156242,NA,3.78790618156242,3.78790618156242,NA,3.78790618156242,3.78790618156242,3.78790618156242,3.78790618156242,3.78790618156242,3.78790618156242,3.78790618156242,3.78790618156242,3.78790618156242,3.78790618156242,3.78790618156242,NA,NA
C30H40O12,NA,1.08707200267332,NA,NA,1.08707200267332,1.08707200267332,1.08707200267332,1.08707200267332,1.08707200267332,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C29H38O13,NA,1.6814235937779,NA,1.6814235937779,1.6814235937779,1.6814235937779,1.6814235937779,1.6814235937779,1.6814235937779,NA,NA,NA,NA,NA,NA,NA,NA,1.6814235937779,1.6814235937779,1.6814235937779,1.6814235937779,1.6814235937779,1.6814235937779,NA,NA
C30H40O13,NA,1.45354285268718,1.45354285268718,1.45354285268718,1.45354285268718,1.45354285268718,1.45354285268718,1.45354285268718,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C30H38O13,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.367279289364,2.367279289364,NA,2.367279289364,2.367279289364,2.367279289364,2.367279289364,2.367279289364,2.367279289364,2.367279289364,2.367279289364,2.367279289364,2.367279289364,NA,NA,2.367279289364
C25H37O10N1,11.0531868651331,11.0531868651331,11.0531868651331,11.0531868651331,NA,NA,11.0531868651331,11.0531868651331,11.0531868651331,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C26H37O13N1,NA,12.7641042248892,NA,NA,12.7641042248892,12.7641042248892,12.7641042248892,12.7641042248892,12.7641042248892,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C26H37O12N1,NA,17.5271814578224,NA,NA,17.5271814578224,17.5271814578224,17.5271814578224,17.5271814578224,17.5271814578224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C26H39O7P1,23.7598209088849,23.7598209088849,23.7598209088849,23.7598209088849,23.7598209088849,NA,23.7598209088849,23.7598209088849,23.7598209088849,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
